video_id,author,text,publishedAt
pRIplSVOfhE,@jigneshvyas3105,What the fuck? either she is a hypocrite or she is mentally unstable. Because what she is saying is far from the truth.,28/10/25 11:40
pRIplSVOfhE,@basavaraj7001,You might as well jump into the ocean!,28/10/25 06:03
pRIplSVOfhE,@amitmodi1091,She is a liar. Says sophisticated words and gains sympathy from people who do not know the reality. This is her bread and butter and she knows how to earn by spreading lies.,27/10/25 23:27
pRIplSVOfhE,@xenopholis47,you are talking as if islamists radicals havent done anything yet. HIndus are trying to protect themselves. If push comes to shove HIndus have to take up arms.,27/10/25 15:37
pRIplSVOfhE,@rahulkadiyan1,She is living off propaganda but no one ever cares.,26/10/25 20:09
pRIplSVOfhE,@ASYNM,fearmongering...... so000 dangeroussss..,26/10/25 05:48
pRIplSVOfhE,@bobsi2813,"She's hallucinating openly. Wonder what she's been smoking? I live in an area where there are at least three mosques within earshot. The muslims in our constituency come campaigning for the BJP come elections time. There's not been a lynching, ""massacre"", mass killing, bulldozing of muslim neighborhoods in. . . forever. This woman is trying to build a hate filled, false narrative that turns the story on its head. Shame on her.",26/10/25 05:48
pRIplSVOfhE,@VM-1964,Compulsive LIAR !!! SHAME !!,26/10/25 04:45
pRIplSVOfhE,@samarsharma1099,Tu g mara,25/10/25 15:02
pRIplSVOfhE,@kusumvyas7446,It seems u r getting lot of money or some benefit from a certain source to talk about all this . Did you talk about Sikh riots in Delhi ?,25/10/25 14:37
pRIplSVOfhE,@kusumvyas7446,Where did mass killings happen?,25/10/25 14:36
pRIplSVOfhE,@kusumvyas7446,Did u ever talk about Kashmiri pandit genocude in Kashmir and those who are living in exile in their own country.,25/10/25 14:36
pRIplSVOfhE,@kusumvyas7446,"If you give anti India statements, then you have to face it . Can u give data how many were lynched or how many suffered? You r talking randomly.",25/10/25 14:35
pRIplSVOfhE,@KGRAO2047,Who is black t shirt lady 🎉,25/10/25 14:16
pRIplSVOfhE,@2047er,"Madam ji - please take a one way ticket to a country where you can ""live"".... haamey hamarey haal pe chood dijye.",25/10/25 01:43
pRIplSVOfhE,@AIIMSHMS,"She is a terrorist , traitor , sold out to foreign agencies and enemies to destabilise India , trying her best from decades . She must feel the heat ,traitors like her must feel scared . Better leave this country . 🙄",25/10/25 00:18
pRIplSVOfhE,@ShantaRaghavan-c3l,All same Indians are having similar thoughts.,24/10/25 13:09
pRIplSVOfhE,@ParamitaRay-j6x,Sometimes I feel like the present govt. has paid her just to prove that freedom of speech is still active in this country. Thanks 😂,24/10/25 11:21
pRIplSVOfhE,@greenleaf4028,COMPLETE JOKER ..... HOW PATHETIC THOUGHT PROCESS AND INTELLIGENCE,24/10/25 08:27
pRIplSVOfhE,@JoelLionelFernandes,Sad country is going to dogs 🐕,24/10/25 03:24
pRIplSVOfhE,@MrPharu500,"Oh really? If Modi had done half the stuff, the Congress Gandhi family had done, to its enemies, your world would have  eclipsed long time go!",23/10/25 20:16
pRIplSVOfhE,@abhirajranawat5018,I suppose the lady has traveled in time machine. Which era is she talking about?,23/10/25 16:13
pRIplSVOfhE,@abhirajranawat5018,"Which place Muslims are bulldozed?

You are showing clipping in part and creating extremism in the mind of minorities kids who will follow you blindly

Which city there has been mass killing?

Mass killing, loot and plundering of Hindu s have taken place in last 800 years 

This clipping is showing in isolation is very dangerous and it should be stopped immediately",23/10/25 16:12
pRIplSVOfhE,@premsagarsharma1722,There can't be a bigger bundle of lies ?,23/10/25 14:27
pRIplSVOfhE,@byravanviswanathan6460,Wild exaggeration about Muslim destruction in India which this woman is trying to project for three decades. She is sick minded and should be ignored.,23/10/25 13:54
pRIplSVOfhE,@er_dcp_D,If possible shift somewhere else,23/10/25 09:57
pRIplSVOfhE,@yrt1761,Paid urban naxal😊,23/10/25 06:11
pRIplSVOfhE,@dt519,I used to think she was just exaggerating things but now I understand she speaks the truth. Only andhbhakto will find fault with her speech.,23/10/25 05:29
pRIplSVOfhE,@aditisinha2410,bruh these things lie sm,22/10/25 11:10
pRIplSVOfhE,@gkmohan8946,So much exaggeration !!!,22/10/25 05:59
pRIplSVOfhE,@IvanMenezes-no8hl,"Arundhati wants sharia law. India is a beautiful place to live. I'm 59, I've travelled to 45 countries and 75 cities. So stop your crocodile tears. Pakistan will welcome you and give you quaid e azam award and then make you a muslim forcefully.",22/10/25 05:37
pRIplSVOfhE,@IvanMenezes-no8hl,"Oh oh you have sympathy for muslims look at the way muslims  massacre Christians in Nigeria, israel, syria pakistan. Arundhati can go to muslim countries and write her books. I can write books and books, volumes upon volumes in muslim atrocities in India and around the globe. Plus catholics and other Christians are converting also.",22/10/25 05:32
pRIplSVOfhE,@Wisdom-ce2ug,"Stupid people commenting on this video without even validating her claim .
This is the level of intelligence most people in India have .Say negative things about your country and people will grab it without validating",21/10/25 18:01
pRIplSVOfhE,@Wisdom-ce2ug,"May I know how many massacres has she seen in India off late .
How can someone sold her soul to become famous .
Madam please settle in any Islamic country you will realise in a day .",21/10/25 17:59
pRIplSVOfhE,@dr.devendrak.bhalerao3160,Touchings herat and mind great speaking 👍🙏💐,21/10/25 15:50
pRIplSVOfhE,@dobby3159,Mass killings? Does she live in  lahore where recently paksitani open fired on pritestwrs and hundreds were killed on gumpoint ? Or Kashmir where Mulsim terrorists killed hindus on gunpoint infront if their families? I am shell-shocked!,21/10/25 13:30
pRIplSVOfhE,@dobby3159,She was an actress once and it shows. The communist-islmaist colab is natural. Both think their point of view is the best point of you. Both ideologies border on fanaticism. Both love to destabilize a nation.,21/10/25 13:21
pRIplSVOfhE,@santasingee9065,"If they want to impose their mideastern dogmatic intolerant views, they shd just move there

https://youtu.be/m4mavIo_Pxs?si=ef01WjNCcZmoMTon",21/10/25 05:31
pRIplSVOfhE,@santasingee9065,"My dear lady… go educate yourself by reading the final book revealed by “god”, not a jot to be changed, in a language which is not indian, by a man who claims to be the “most perfect man” who ever lived.  Are u in fantasy land? Who is paying you?",21/10/25 05:27
pRIplSVOfhE,@santasingee9065,"Being a malayalee, i am ashamed that we have such a paid 5th column in our country",21/10/25 05:20
pRIplSVOfhE,@santasingee9065,What an idiot… paid by the worldwide ummah,21/10/25 05:18
pRIplSVOfhE,@anmoltaneja8163,"People like you create nuisance for this country ,lying to international media",20/10/25 19:33
pRIplSVOfhE,@vishaljamwal6697,"Wow … this lady after having lived unconventional way and supporting naxalites and separatists is portraying herself as a symbol of peace …
   her reality to new india is known very clearly ….       internet has been a blessing for the remotest part of india otherwise these leftist would have dominated Indian media space",20/10/25 18:37
pRIplSVOfhE,@karthikmagadi7696,You are more than welcome to get out of the country,20/10/25 16:49
pRIplSVOfhE,@anitabhandary2589,"I wonder where she is living, I have lived in India throughout my life , I went to a convent school, have Muslim colleagues, travel in a uber having a Muslim driver, adore Mohammed Rafi Naushad Shahrukh and so many. A Muslim bread and egg vendor comes to my Society predominantly a Hindu locality every day without fear. Actually it is the likes of this author who spread such false narratives. And you find people believing it. I wish people would speak out against this rather than applauding her.",20/10/25 15:25
pRIplSVOfhE,@endeavour1349,😢😢😢,20/10/25 11:48
pRIplSVOfhE,@jaykoruth,"This woman is a pathological lier. She has never been up to anything good. Got lucky with her so called ""book"" and then decided that she's entitled to blatantly lie about anything that she finds inconvenient.  She needs to be in jail for spreading falsehoods travelling all around the world on soros' alms!!.",20/10/25 09:15
pRIplSVOfhE,@M.A.K-1,shameful lies. with only 20% truth.,20/10/25 05:06
pRIplSVOfhE,@rohitsuri5982,"Be part of Nation
Love thy nation rather than condemnation 
Unless we love soul of Bharat or become part of whole 

Its identity crises 
Anudhiti 

Jai Hind 
Jai Jai Hind",20/10/25 03:27
pRIplSVOfhE,@ashrafdastagir6053,Very  true Mam,19/10/25 18:21
pRIplSVOfhE,@pulakkar9086,"This lady just gone mad 😂😂😂.
..",19/10/25 15:22
pRIplSVOfhE,@MrAnoopmukund,Full of lies and misrepresentation! Where is the massacre? Who was massacred? She should be prosecuted for spreading lies.”,19/10/25 10:50
pRIplSVOfhE,@davidridgewell629,"George Soros and Roll Gandy in India work to fund terror naxal activities and abet khalistan movement.  Roll G's party the Congress Party started by the British to extend the British Raj in India, has today morphed into an outfit that abets a fascist Caliphate Republic of India.  Consequently Congress doesn't allow the ruling BJP Modi govt to function properly posing impediments as the Govt pushes to make India a developed Country by 2050.  Modi's brilliant work for all sections including Muslims has been facing lot of headwinds and rabid opposition from Congress Left and the Islamists who wish to supplant India's secular democratic ways with their fascist barbaric islamic Caliphate rule.  Gazhwa e Hind they call this Theological operation which is rabidly Opposed to India's civilizational legacy of Vedic Hindu Sanatan. They Hate India but want to Rule India. 😮😢🎉",19/10/25 08:05
pRIplSVOfhE,@daredevil3048,"Whenever I feel disillusioned with the BJP and start considering voting for the INDIA alliance, I remind myself to check the online profiles of certain individuals who support them. If I find myself aligning with their views, I take it as a sign that I'm veering off track and immediately reconsider my stance, ultimately deciding to stick with the BJP",19/10/25 07:28
pRIplSVOfhE,@subhasishbhattacharjee9638,She's a snake in the grass,19/10/25 06:14
pRIplSVOfhE,@sundeepgupta1,"This woman has nothing else but negative to talk. She has done nothing for the country she lives in, and wishes the country to break up in all ways. She must leave her Indian residency and reside where people who sponsor her live.",19/10/25 04:04
pRIplSVOfhE,@dramartej,Stop spreading hate and fear. Every county has problems. Largely  India is a peaceful country.,19/10/25 03:44
pRIplSVOfhE,@ARN8250,Muslims are deprived in India ✅,19/10/25 03:17
pRIplSVOfhE,@anupamsingh25,Mass killing in her city😅😅😅😅.....lier,18/10/25 23:55
pRIplSVOfhE,@anupamsingh25,She is living in ac and enjoying life in india....speaking freely ...overacting... 😅😅😅😅😅,18/10/25 23:54
pRIplSVOfhE,@anuragchauhan5247,इनके कौन से शहर में मास किलिंग या  massacre हुआ है? मैने कब इतनी बड़ी न्यूज मिस कर दी?,18/10/25 19:03
pRIplSVOfhE,@adilpashasyed999,"Living in India as a Muslim is horrible. Every day, we are dying.",17/10/25 18:07
pRIplSVOfhE,@DD-yb9mb,"Yes you are right,This country Will blast into atleast five new countries",17/10/25 17:02
pRIplSVOfhE,@KannadasanDuraiPandian,Arundahti Roy is a Terrorist Supporter she had sleep with Terrorist,17/10/25 11:38
pRIplSVOfhE,@bordersdefined,Mass killing of muslims? which city you are talking about!,17/10/25 08:05
pRIplSVOfhE,@amishpatni8715,She is dacoit,17/10/25 06:51
pRIplSVOfhE,@akghosh8409,"This woman is selfish only thinking about her own personal growth 
Very toxic mind set
Another example of fanatics 
Pseudo secularism 
True example of foreign agent 
Getting funding from overseas to spread hatred",17/10/25 03:01
pRIplSVOfhE,@chabhas,How much of an act one has to do . Good performance  in support of the opposition  propaganda . Real creative people are at their best when there is strife all around .  You should shift to acting,17/10/25 01:34
pRIplSVOfhE,@vandanasingh7497,"What the hell is she talking?? She is creating a perception about how our country is so unsafe to stay… non sense
I don’t disagree or denying that such things are not happening but it’s happening everywhere in this world and this is sad but on international platform it sounds like India is a dangerous place to stay, where majority of Indians will deny",16/10/25 18:10
pRIplSVOfhE,@soni2456-g,Sad that person of her stature portraying India by just one side of story or one side of coin 😢😢😢,16/10/25 16:57
pRIplSVOfhE,@niazkamaruddeen632,Modi and Netanyahu - do u see any difference ? Both cater to right wing extremism,16/10/25 14:06
pRIplSVOfhE,@akashsrivastava121,Anti India mentality. Want to axe her own country. Better leave & go to a peaceful country,16/10/25 11:46
pRIplSVOfhE,@akashsrivastava121,"Shes  lying to the core. What dangerous. Getting millions of dollars to create false propaganda. Things are being corrected of all the fallacies of appeasement done previously. Yes all illegal, land grabbing is being bulldozed.",16/10/25 11:44
pRIplSVOfhE,@gsm5245,"Are Bhai I hate BJP, but I dnt have issue living in my country. TALKING bad about the country everywhere shows her intention..Is she paid from somewhere",16/10/25 11:30
pRIplSVOfhE,@raakasingh6828,"Real pain in her voice as she's not getting Reward,  Recognition, Rupees, Respect, which she never deserved...😅🎉",16/10/25 08:35
pRIplSVOfhE,@palanisamymanickamravichandran,"She doesn't like a party which supports and safeguards the Hindu community and its people in India. That is why she talks like this. 

She never spoke when Hindu people were killed in Kashmir, Pakistan and Bangladesh. This lady always supports people who follow and practice religions which came to India from foreign soil.

One religion converts Hindu people by talking softly and giving money and other religion converts Hindu people by threatening and using the method called love jihad.",16/10/25 01:02
pRIplSVOfhE,@bhanot1968,"This women is spreading hate and bunches of lies .India is growing fast  ,muslim countries are welcoming and rewarding PM modi  .but this women hate Hindus.",15/10/25 14:59
pRIplSVOfhE,@kiranjoshi4644,Arzoo Kazmi of India,15/10/25 14:33
pRIplSVOfhE,@anah342,She is lying so blatantly ...I mean she is so messed up in her head ... Where is mass killing in india ...God she should be taken to the task by  law authorities  for defaming india and spreading hatred against india and Hindus,15/10/25 09:00
pRIplSVOfhE,@rootsquare7907,What you have living in India for whole life without getting hurt? Need attention? Please leave if you are in danger. Because all I see is talk not action.,15/10/25 07:26
pRIplSVOfhE,@TennisProfessor00,I agree there is increase hate and intolerance India due to right leaning government. But constitution protects govt to overstep,15/10/25 00:50
pRIplSVOfhE,@Bha-b2d,"She is portraying the actual India, not what the mainstream Indian media shows every day.",14/10/25 17:18
pRIplSVOfhE,@mypoliticalviews7502,Is she alive or some devil's speaking no offence iam communist red salute❤,14/10/25 07:06
pRIplSVOfhE,@rajnichainani3159,Dangerous where is it in your mind 😢show it to psychiatrist.,14/10/25 03:49
pRIplSVOfhE,@naitanaita9345,😢😢😢😢😢😢😢😢😢,14/10/25 02:21
pRIplSVOfhE,@TheJayawant,A rotten curse this person is that she is living in Bharat.,14/10/25 01:50
pRIplSVOfhE,@gufidrive9107,Way too much Drama and Delusion here. When you talk to real people in the real world we really don't see anything extraordinary happening in India that does not happen anywhere else. But some people feel a sense of greatness when they foul mouth their own country. It should not really matter that they say these things. But when these statements go out in the western media it just puts India in a low spot for investors and tourists and many other things. Requesting real people to call out these bluffs and do something good for the country.,13/10/25 18:17
pRIplSVOfhE,@lalitharamesh7230,"There was a time when I loved her for the way she thinks .,but no .not anymore now as she now only thinks that every thing  and anything in India is wrong . Lots of negative publicity. Her sta",13/10/25 12:25
pRIplSVOfhE,@meowman7926,its has been more than 10 years and they are still crying wolf.,13/10/25 08:12
pRIplSVOfhE,@sushmanautiyal3527,मत आना भारत 😂,13/10/25 07:44
pRIplSVOfhE,@muralikrishnanmukundan5235,"Please get lost if you can't live here...
Bharath will be s better place for all of us here...",13/10/25 06:59
pRIplSVOfhE,@aashaakp,"Oh.. poor you.. Mass killing?? .. like in West Bengal??. Why live in suffocation... why don't you run way.. how do you even breathe .. Why don't you listen to one of your peer , named Mr Shashi Tharoor?? And check reality...",13/10/25 05:57
pRIplSVOfhE,@Jacinta-h6b,😢😢😢😢,13/10/25 04:33
pRIplSVOfhE,@vinitmutha6110,I feel sorry that i read her book....she is a snake,13/10/25 02:26
pRIplSVOfhE,@dailydoseofpierie,"Indeed very dangerous,more dangerous than the condition of Taslima nasrin, who had too flee her country. More dangerous than the queer Imam who was un-alived within a fews days after he announced he was queer. How does she manage??",12/10/25 17:05
pRIplSVOfhE,@Jannatul-gw8uv,You are telling the truth ❤❤❤,12/10/25 16:47
pRIplSVOfhE,@GavarM,"To be frank, Hindus don't have a voice and a reservation. They are only taxpayers",12/10/25 15:02
pRIplSVOfhE,@Drsanjay85,I think you are mentally ill. Go get yourself checked in a mental hospital. May be they will diagnose you with schizophrenia and start some medication for you and you see the truth.,12/10/25 08:03
pRIplSVOfhE,@jisudas6049,Currently the whole world is going anti Islam. India is the only refuge they have. Pseudo secularists like her who have played a great part in distortion of the literatures. Send her to an Islamic nation.,12/10/25 06:33
pRIplSVOfhE,@subhadipnandi6044,Thank you Mam for your insights. Saffron terorists are spreading poison everywhere. Pajeets are zombies.,12/10/25 05:30
pRIplSVOfhE,@hassananas4944,"Just imagine the intellectual rage n trauma that she is going through owing to her sense of justice. MODIfied INDIA is the display of the worst social system in the history of India, and the world.",12/10/25 04:11
pRIplSVOfhE,@stephenpolissack2018,Sounds like we have the same problem going on in the US like you do in India. The world’s oldest running democracy & the world’s biggest one. They cannot fail for the sake of our countries & the world.,12/10/25 02:01
pRIplSVOfhE,@rajeevkharyal,https://youtu.be/J7Gv0CFBj-U?si=vNnyUz6uVkHzmrcI,12/10/25 01:37
pRIplSVOfhE,@RockyDas-i1l,ask her What about the sharda devi killed by Islamist and hindu situation in Kashmir,11/10/25 13:13
pRIplSVOfhE,@GA-jx3dx,There is no truth to what she is saying.... Believe her at your own peril... This is liberals meltdown,11/10/25 12:54
pRIplSVOfhE,@GA-jx3dx,She is such a liar,11/10/25 12:52
pRIplSVOfhE,@neerukhattar4918,"I think you must go to America. That’s the right country for you right now. Instead of criticising, what have been your contribution? Do something if you have been given a world platform. Do something … don’t crib",11/10/25 10:03
pRIplSVOfhE,@anildeepchandani6026,These two faced liberals commies should stay in some Islamic state where they have to stay covered than they will know what a paradise India is.,11/10/25 08:34
pRIplSVOfhE,@NurulIslam-kc2jl,👌An Indian Icon,11/10/25 07:43
pRIplSVOfhE,@Pratham-r7v,Then get out from India 🇮🇳,11/10/25 01:27
pRIplSVOfhE,@JahangirKhan-i9k,BJP is Hindu fundamental party they are spreading terror harboring terrorism against minorities.,10/10/25 23:19
pRIplSVOfhE,@sunnya.1091,CIA propaganda Asset!,10/10/25 22:07
pRIplSVOfhE,@sln1982,"Thank you Arundhati, you are a true patriot",10/10/25 21:34
pRIplSVOfhE,@trur0mant1c,Again who started this hate and who left it in its wake....the British empire ......they did it to Africa...they did to India.....they did it to Palestine,10/10/25 20:55
pRIplSVOfhE,@marthaganta1595,"Also ....in the name of anti-conversion bill , Christians are being persecuted.. groups like Bajrang dal are abusing,beating them not sparing even women n children.",10/10/25 18:43
pRIplSVOfhE,@SushmaVincent-kj9yw,"Absolutely right mam, now the whole country is facing the same situation 😭",10/10/25 15:36
pRIplSVOfhE,@Naren8797,RSS N BJP IS EVIL..NO DOUBTS ABT THAT...BRAHMINISM IS DRIVING THIS ANTI-MUSLIM HATRED,10/10/25 14:37
pRIplSVOfhE,@kinek301,Am big of Arundhati Roy. Want to be courageous like her!!,10/10/25 12:50
pRIplSVOfhE,@NaseemaMahomed-n6v,"Beautiful, Courageous Woman of Substance, of Truth!  May GOD protect you and strengthen you in order to continue your fight against injustice.
The World needs more of you.  
Love and warmest wishes, Warrior Woman ❤",10/10/25 11:12
pRIplSVOfhE,@AnsuTech2022,Oh Really 😅 who is yasir malik your boyfriend what he Done,10/10/25 07:39
pRIplSVOfhE,@shayamhazarika5060,You have such a huge net worth.why dont you migrate? India doesnt deserve you,10/10/25 07:16
pRIplSVOfhE,@sonalsharma769,"She is a big big hypocrite,a big liar, an opportuist ,a devilish utter selfish ,fake lady,an utterly sold soul to CIA an inside letist who earns her bread by speaking shit about her own mother country mother religion enjoying her rich life style ,drinks alcohol,smokes moves about in flight and crying about  how  hindu right wingers r exploiting the innocent peacefuls",10/10/25 01:12
pRIplSVOfhE,@mohshahidkhan8599,Salute to you Ma'am,09/10/25 20:37
pRIplSVOfhE,@rockwithsable,"Karma is batch, Hitler paid, Musolin paid; truth is final.",09/10/25 15:41
pRIplSVOfhE,@VinayKumar-db4qz,"Indian version of Greta Thunberg, perpetually miserable and in danger for the last 70 years of her life.
            She should move to Trump's America. 2200 mass shootings in the year 2025 until (October).",09/10/25 15:36
pRIplSVOfhE,@sureshnair7959,Please go to pakistan,09/10/25 11:29
pRIplSVOfhE,@PrinceAce-f7c,Please go to Afghanistan and wake up the Taliban,09/10/25 11:19
pRIplSVOfhE,@soumitramanna8548,She wants asylum in US ..thats it..,09/10/25 10:22
pRIplSVOfhE,@shantanupethe,Please take a break and go for pakistan ...or bangladesh... Tour....please share the insights...,09/10/25 10:09
pRIplSVOfhE,@pratimaghosh-k5c,"I am very sorry,  you are totally wrong. We are friends with all muslims who are here with us.

If you are so worried,you should come here and live with us here and verify the conditions.


Then you should also go to Pakistan and Bangladesh and live amongst common people.





We have muslims all round,but we have no problems.

Pls don't spread misconceptions 

All Hindu organisations are very peaceful",09/10/25 09:55
pRIplSVOfhE,@reshminandy7030,I love Arundhati and her work  but she overstate the ordeal at times 🙂. Or I’m living in bubble,09/10/25 07:02
pRIplSVOfhE,@MariaKhan-td3go,"It's great how u speak things. Atleast what u hv just said.
  May God protect you and keep u safe.",09/10/25 06:57
pRIplSVOfhE,@libertas57,She clearly seems to have lost all sense of proportion. The only question is how much of it is genuine and how much of it is deliberate.,09/10/25 03:23
pRIplSVOfhE,@Alaska-yg3uj,Stay safe. 🙏,08/10/25 20:02
pRIplSVOfhE,@moshak4804,"This woman is a beacon for love, truth and justice. She is beautiful outward and inward Allah swt guide and protect her.❤",08/10/25 11:45
pRIplSVOfhE,@AaleYaaseen,We pray for your safety ma'am. You are the embodiment of courage.,08/10/25 10:53
pRIplSVOfhE,@riteshrajeshsingh1607,All muslims extremeist who wants to kill everyone who is not muslim is giving full support Arundhati in comment section 😅,08/10/25 09:10
pRIplSVOfhE,@malaganapathy6588,She is sooo vague. Easy to sit in a chair and give a discourse on what all is going wrong. It is another thing entirely to try to administrate such a heavily populated and diverse country like ours. She may be a good author but as a person spewing nonsense to foreign media is not very admirable.,08/10/25 08:58
pRIplSVOfhE,@kaishorika,"To ye budhia kya kabhi nahin maregi?
Ab natural death bhi hoga to bhi log bolenge ki hay hay mar gayi. She is a bloody liar who is staying in india and blabbering all the time against India but still says she is in danger. She is hungry for publicity.",08/10/25 08:33
pRIplSVOfhE,@Isla_Dawa,India is the second Israel ! He wants mass killing because of their supremacism .,08/10/25 07:51
